Gene,mean_1_aerobic_t30_2_chlor, std_1_aerobic_t30_2_chlor,mean_1_aerobic_t60_2_chlor, std_1_aerobic_t60_2_chlor,mean_1_aerobic_t180_2_chlor, std_1_aerobic_t180_2_chlor,mean_1_aerobic_t30_6_nor, std_1_aerobic_t30_6_nor,mean_1_aerobic_t60_6_nor, std_1_aerobic_t60_6_nor,mean_1_aerobic_t180_6_Nor, std_1_aerobic_t180_6_Nor
rnpA, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
yqgB, -0.379, 0.494, 0.372, 0.398, 0.262, 0.609, -2.639, 0.686, -1.410, 1.994, -0.474, 0.705
frlD, 0.234, 0.518, 0.438, 0.312, 0.124, 0.309, -0.504, 0.819, -1.116, 0.466, -0.815, 0.368
yhdY, 0.428, 0.354, 0.976, 0.427, 0.557, 0.285, -0.529, 0.454, -0.676, 1.036, -0.778, 0.581
ybdK, 0.413, 0.351, 0.486, 0.499, 0.080, 0.857, 0.338, 0.447, -0.389, 0.698, -0.656, 0.276
otsB, -0.478, 0.742, -0.012, 0.229, -0.022, 0.386, -0.188, 0.839, -0.874, 0.723, -0.285, 0.374
rzpQ, -0.000, 0.870, -0.287, 0.730, 0.253, 1.483, 0.674, 0.796, -inf, nan, -1.421, 1.538
dgoR, 0.310, 0.783, 0.216, 0.231, 0.810, 0.924, 0.513, 0.128, -inf, nan, -0.718, 0.567
nfrB, -0.295, 0.739, 0.462, 0.665, 0.210, 0.682, -0.194, 0.715, -0.936, 1.291, -0.918, 0.464
rrfF, nan, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
chpS, 0.936, 1.105, 0.179, 0.135, -0.291, 1.010, 0.980, 1.019, -0.117, 0.541, -0.094, 1.268
mutL, 0.675, 0.464, 0.429, 0.402, 0.243, 0.177, 0.628, 0.526, -1.485, 2.201, -1.072, 0.463
mlaA, -0.343, 0.575, 0.188, 0.208, 0.086, 0.237, -0.650, 0.896, -1.007, 0.830, -1.298, 0.447
oxyS, -0.458, 0.920, 0.632, 0.278, 0.077, 0.306, -0.218, 0.612, 0.078, 1.596, -0.879, 0.244
yjiS, 0.754, 0.297, 0.807, 0.376, 0.201, 0.040, 0.157, 0.470, -0.085, 0.383, -0.965, 0.766
secE, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan, inf, nan
yfjM, 0.091, 0.780, 0.300, 1.009, 0.675, 0.467, 0.005, 1.727, -inf, nan, -0.339, 0.307
yeeO, -0.827, 0.630, 0.570, 0.438, 0.141, 0.429, -1.043, 0.588, -0.872, 0.691, -0.686, 0.743
ygcG, -0.670, 0.832, 0.624, 0.309, 0.087, 0.296, -0.759, 1.071, 0.546, 1.866, -0.689, 0.534
pncC, 0.338, 0.528, 0.585, 0.214, 0.131, 0.351, -0.038, 0.879, -1.124, 1.478, -0.573, 0.296
wcaA, -0.085, 1.171, -0.034, 0.144, 0.353, 0.360, -0.682, 0.723, -0.933, 0.414, -1.099, 0.322
nudE, -0.331, 1.352, 0.305, 0.419, -0.024, 0.206, -0.967, 1.832, -0.572, 0.577, -0.512, 0.126
envR, 0.449, 0.427, 0.374, 0.321, 0.148, 0.137, -0.078, 0.539, -0.345, 0.424, -0.868, 0.397
yfaQ, 0.206, 0.868, 0.230, 0.806, -0.113, 0.469, 0.544, 1.011, -0.103, 0.724, -0.736, 0.563
yegI, -0.184, 1.055, 0.634, 1.066, -0.179, 0.333, -0.086, 1.331, -0.442, 0.824, -1.091, 0.432
cysI, 0.275, 0.806, 0.771, 0.558, 0.537, 0.215, 0.089, 1.057, -0.532, 1.473, -0.386, 0.309
yaaW, -0.779, 1.661, 2.116, 1.562, 0.583, 0.356, -inf, nan, -0.250, 1.239, 0.136, 0.855
serS, inf, nan, inf, nan, nan, nan, inf, nan, inf, nan, inf, nan
argP, -0.722, 1.655, 0.372, 1.383, -0.429, 1.617, -inf, nan, -inf, nan, -0.576, 0.591
fmt, 0.759, 1.214, 0.829, 0.763, inf, nan, 1.409, 2.022, -inf, nan, inf, nan
dusA, -0.280, 1.130, inf, nan, 0.077, 0.470, -inf, nan, inf, nan, -inf, nan
uidA, -inf, nan, 0.574, 0.249, 0.111, 0.694, -0.830, 1.055, -inf, nan, -inf, nan
ygbE, inf, nan, -0.019, 0.373, 0.459, 0.510, inf, nan, -0.172, 1.143, -0.238, 0.699
cnu, inf, nan, inf, nan, nan, nan, inf, nan, inf, nan, nan, nan
garL, -0.741, 0.666, 0.439, 0.273, 0.358, 0.203, -1.240, 1.330, -0.133, 0.918, -0.606, 0.600
ybfB, -1.247, 1.706, 0.458, 1.009, 1.332, 0.968, -2.429, 1.304, -1.559, 1.417, -0.794, 0.792
dgoK, 0.476, 0.472, 0.499, 0.300, 0.210, 0.050, 0.186, 0.636, -0.114, 0.773, -0.813, 0.358
lptD, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
gmm, 0.457, 1.467, 0.585, 0.442, 0.663, 0.786, -0.396, 0.575, 0.126, 1.662, -0.347, 0.663
rnr, -0.009, 1.352, 0.487, 1.284, 1.391, 1.741, 0.941, 3.132, 0.113, 1.767, -inf, nan
ydeE, 0.608, 0.538, 0.482, 0.490, 0.468, 0.071, -0.177, 0.469, 0.398, 0.665, -0.616, 0.431
ppa, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
yhhM, -inf, nan, inf, nan, inf, nan, -inf, nan, inf, nan, inf, nan
fecD, 0.831, 0.249, 0.580, 0.144, 0.870, 0.739, 0.756, 0.800, 0.078, 0.917, 0.317, 1.444
yrbL, 0.056, 1.730, 0.486, 0.494, 0.087, 0.273, -0.826, 1.238, -0.401, 1.932, -0.667, 0.328
yicJ, -0.212, 0.860, 0.141, 1.193, -0.218, 0.616, -0.002, 1.339, -1.299, 1.176, -1.425, 1.177
flgB, 0.282, 0.392, 0.352, 0.234, 0.208, 0.226, -0.271, 0.789, -0.735, 0.722, -0.683, 0.251
tamA, 0.333, 0.951, 0.498, 0.417, 0.332, 0.247, -0.278, 0.826, -0.940, 0.630, -0.537, 0.374
pgaD, 0.487, 0.498, 0.477, 0.367, 0.112, 0.731, 0.067, 0.864, -0.222, 1.696, -0.509, 0.375
yaeI, 0.224, 0.449, 0.447, 0.334, 0.093, 0.399, -0.489, 0.460, -0.057, 0.563, -0.468, 0.592
yejE, 0.481, 0.313, 0.622, 0.456, 0.384, 0.166, 0.037, 0.378, -0.125, 0.950, -0.351, 0.368
yecT, -0.525, 1.143, 0.010, 0.912, 0.395, 0.800, -inf, nan, -0.243, 2.000, -0.396, 0.651
hemE, inf, nan, 0.876, 1.059, inf, nan, inf, nan, 3.469, 1.143, inf, nan
dsbB, 0.414, 0.707, 0.260, 0.213, 0.226, 0.135, -0.200, 0.815, -0.640, 0.514, -0.687, 0.099
ydhK, 0.839, 0.821, 0.739, 0.315, 0.558, 0.412, 0.249, 0.877, -0.169, 0.391, -0.433, 0.506
ydiZ, -inf, nan, 1.393, 1.113, 0.559, 0.310, 0.343, 0.405, -inf, nan, -0.549, 0.890
bioF, 0.926, 0.234, 0.932, 0.669, 1.174, 1.568, 1.227, 1.175, 0.767, 2.312, 0.587, 2.052
yfdE, -0.111, 0.714, 0.107, 0.425, 0.298, 0.405, -0.853, 0.297, -inf, nan, -0.875, 0.257
yedP, inf, nan, inf, nan, -inf, nan, inf, nan, inf, nan, -0.215, 1.314
yihF, -inf, nan, inf, nan, -0.006, 0.672, -0.712, 0.661, nan, nan, -inf, nan
ybiU, 0.370, 0.274, 0.431, 0.441, 0.077, 0.163, -0.166, 0.626, -0.446, 1.363, -0.134, 0.249
uidC, 0.637, 0.604, 0.192, 0.296, -0.067, 0.435, 0.108, 0.559, -0.363, 1.412, -1.000, 0.549
pinE, inf, nan, 0.501, 0.368, 0.045, 0.575, inf, nan, -0.115, 1.800, -1.097, 1.623
hcaD, 0.147, 1.006, 0.945, 0.189, 0.563, 0.291, 0.101, 0.827, -0.813, 1.313, -0.457, 0.147
mreC, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
yjfN, 0.114, 0.968, 0.489, 0.375, 0.412, 0.343, 0.514, 0.776, -1.401, 1.580, -0.794, 0.699
fau, 0.551, 0.298, 0.335, 0.753, -0.191, 0.329, -0.207, 1.338, -0.162, 1.005, -0.853, 0.906
glpT, 0.167, 0.722, 0.340, 0.075, 0.079, 0.196, -0.240, 0.908, -0.056, 0.489, -0.592, 0.282
ybhL, -0.296, 0.591, 0.464, 0.415, -0.069, 0.194, -0.735, 1.257, -1.598, 1.259, -1.072, 0.295
cmtB, 0.178, 1.338, 0.304, 0.191, 0.492, 0.311, -0.253, 1.863, -0.484, 0.935, -0.431, 0.315
araJ, -0.393, 0.660, 0.544, 0.290, 0.189, 0.428, -0.392, 1.035, -0.199, 0.296, -0.651, 0.671
xapA, inf, nan, inf, nan, 0.029, 0.293, inf, nan, inf, nan, -0.439, 0.683
trmH, 0.659, 0.724, 2.218, 1.333, -0.073, 0.788, -1.236, 1.428, -inf, nan, -0.004, 1.825
yijD, -0.790, 1.023, -0.037, 0.931, -0.432, 0.487, -0.329, 1.262, -1.313, 1.945, -1.049, 0.449
yhfS, -0.645, 0.401, 0.161, 0.339, 0.071, 0.487, -0.652, 1.352, -0.461, 1.132, -0.636, 0.389
ylbF, 1.159, 1.915, 0.330, 0.868, 0.153, 0.306, 0.916, 1.275, -inf, nan, -0.681, 0.407
yecC, 0.190, 0.834, 0.444, 0.328, 0.176, 0.435, 0.044, 0.249, -0.092, 0.637, -0.532, 0.650
modE, -inf, nan, inf, nan, 0.383, 0.453, -inf, nan, inf, nan, -0.312, 0.223
rcdA, -inf, nan, inf, nan, inf, nan, -0.270, 0.312, nan, nan, inf, nan
yicG, 0.096, 0.985, 0.436, 0.713, 0.118, 0.363, -0.468, 0.411, -1.274, 0.751, -1.021, 0.515
chbC, -0.570, 0.567, 0.453, 0.501, 0.354, 0.856, -0.643, 0.610, 0.266, 1.090, -0.002, 1.301
ccmH, 0.405, 0.872, 0.627, 0.610, 0.273, 0.287, 0.571, 0.501, 0.532, 0.940, -0.746, 0.841
melR, -0.175, 0.887, 0.372, 0.410, 0.308, 0.215, -0.006, 0.531, -0.222, 0.426, -0.970, 0.210
potD, 0.709, 0.628, 0.360, 0.325, 0.298, 0.141, 0.511, 0.469, -0.253, 0.873, -0.673, 0.287
ydfV, inf, nan, inf, nan, -inf, nan, nan, nan, nan, nan, -0.266, 0.970
argG, 0.865, 0.336, 0.359, 0.281, 0.424, 0.376, -0.117, 0.567, -0.830, 1.587, -0.073, 0.812
yhcD, 0.152, 0.141, 0.501, 0.571, 0.149, 0.286, -0.267, 0.401, -0.812, 1.039, -0.936, 0.792
kefB, -0.199, 0.649, -0.020, 0.336, -0.090, 0.262, -0.396, 0.615, -0.657, 0.742, -0.738, 0.445
rpsC, nan, nan, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan
solA, 0.425, 0.901, 0.187, 0.329, 0.108, 0.189, -0.498, 0.236, -0.766, 0.872, -0.339, 0.860
rcsA, -0.243, 0.532, 0.259, 0.437, -0.054, 0.075, -0.803, 0.469, -0.401, 0.744, -0.741, 0.271
greB, -0.307, 0.390, 0.131, 0.317, 0.272, 0.612, -0.879, 0.730, -0.429, 1.030, -0.684, 1.004
nadR, 0.098, 0.531, 0.774, 0.166, 0.514, 0.261, -0.341, 1.441, -0.782, 0.643, -0.419, 0.402
yegK, 0.001, 0.586, 0.195, 0.292, 0.239, 0.090, -1.108, 0.879, -0.471, 1.083, -0.694, 0.494
kdsA, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
aroH, 0.761, 0.961, 0.718, 0.276, 0.491, 0.060, 0.595, 0.923, -0.358, 1.285, -0.505, 0.376
yegT, 0.894, 1.019, 0.363, 0.461, 0.391, 0.951, 0.711, 0.711, -0.582, 0.764, -0.291, 1.158
ybcO, inf, nan, -0.530, 1.151, 0.059, 0.484, inf, nan, -0.938, 1.223, -1.333, 0.791
dcd, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
yhhX, inf, nan, -inf, nan, -inf, nan, nan, nan, -inf, nan, -1.091, 0.998
nikC, 1.090, 0.411, 0.437, 0.117, 0.480, 0.434, 0.781, 0.368, 0.889, 0.464, -0.623, 0.645
ysaA, 0.160, 1.309, 0.355, 0.770, 1.580, 3.060, 0.159, 1.565, -1.089, 1.151, 0.824, 2.355
rluC, nan, nan, inf, nan, inf, nan, inf, nan, nan, nan, nan, nan
dsdC, 0.824, 0.273, 0.614, 0.572, 0.320, 0.108, 0.110, 0.684, 0.252, 1.330, -0.539, 0.077
yidQ, 0.759, 0.541, 0.482, 0.529, 0.166, 0.448, -0.000, 0.843, -0.893, 1.187, -0.912, 0.676
wcaE, -0.211, 0.860, 0.569, 0.611, 0.350, 0.649, -0.564, 1.517, -0.676, 2.741, -0.884, 0.883
ymfD, -1.581, 0.889, 0.746, 0.437, -0.100, 0.631, -inf, nan, -0.208, 0.797, -0.765, 0.511
nac, 0.833, 0.846, 0.350, 0.118, 0.565, 0.241, 0.476, 1.270, 0.113, 1.100, -0.227, 0.196
idi, 0.082, 0.239, 0.486, 0.280, 0.335, 0.236, -0.083, 0.552, -0.359, 0.850, -0.523, 0.219
yfdK, 0.471, 2.146, 0.727, 1.822, 0.284, 2.093, 0.942, 2.451, -inf, nan, 0.213, 1.406
ypdI, -0.751, 1.085, 0.350, 1.075, 0.498, 0.380, -inf, nan, -inf, nan, -inf, nan
ydeQ, -0.605, 1.737, -0.084, 0.965, -0.351, 0.792, -0.448, 1.326, -inf, nan, -1.386, 0.844
sspB, 1.251, 0.521, 0.676, 0.443, 2.518, 1.063, 2.207, 0.803, 1.241, 1.206, 2.442, 1.826
mnmC, -0.212, 0.401, -0.037, 1.098, -0.483, 1.392, -1.415, 0.414, -inf, nan, -1.838, 2.171
fhuF, 0.113, 1.177, 0.027, 0.503, 0.092, 0.253, -0.532, 1.815, -1.086, 1.085, -0.889, 0.423
abgT, -0.200, 0.954, 0.272, 0.211, 0.173, 0.129, -0.483, 1.428, -0.120, 0.771, -0.758, 0.520
yaaX, -0.216, 1.750, 0.439, 0.669, 0.409, 0.418, -0.539, 1.121, -1.076, 1.020, -0.482, 0.634
ligT, -0.395, 0.583, 0.425, 0.640, 0.280, 0.341, -1.114, 0.275, 0.303, 1.313, -0.538, 0.259
ygeK, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan, inf, nan
yddG, 0.272, 0.736, 0.373, 0.286, 0.428, 0.173, -0.050, 1.360, -0.047, 0.658, -0.775, 0.512
emrE, inf, nan, inf, nan, -0.358, 0.638, inf, nan, inf, nan, -inf, nan
dsdX, 0.121, 0.596, inf, nan, 1.193, 2.053, -0.043, 2.206, inf, nan, 0.490, 2.811
yneF, 0.256, 0.212, 0.349, 0.082, -0.170, 0.944, 0.058, 0.384, -0.052, 0.705, -0.654, 0.287
deoR, 0.543, 0.377, 0.611, 0.303, 0.486, 0.096, 0.399, 0.520, 0.156, 0.660, 0.087, 0.425
gmhB, 0.143, 0.653, 0.851, 0.476, 2.924, 0.332, 1.308, 0.835, 1.433, 0.723, 2.985, 0.824
rpoD, nan, nan, inf, nan, inf, nan, nan, nan, nan, nan, inf, nan
hycI, 0.407, 1.143, 0.255, 0.290, 0.117, 0.296, -0.641, 0.313, -inf, nan, -0.881, 0.505
treR, 0.348, 0.808, 0.500, 0.151, 0.289, 0.623, 0.170, 0.836, 0.100, 0.684, -0.388, 0.799
yciK, 0.846, 0.871, 0.736, 0.210, 0.297, 0.253, 0.216, 0.961, -0.348, 1.602, -0.776, 0.314
yjbM, -inf, nan, 0.749, 0.728, 0.009, 1.049, -inf, nan, -1.122, 1.307, -inf, nan
yfgI, -0.132, 1.289, 0.221, 0.388, 0.081, 0.384, 0.273, 0.302, -1.567, 0.566, -0.555, 0.371
yagG, 0.517, 0.791, 0.370, 0.170, 0.484, 0.290, 0.021, 0.474, -0.058, 0.324, -0.179, 0.607
ydbA_2, -0.500, 1.072, 0.595, 0.940, 0.534, 1.099, -inf, nan, -0.075, 1.171, -0.539, 1.380
ydcV, -0.328, 0.420, 0.811, 0.627, 0.165, 0.172, -0.392, 0.585, 0.025, 0.331, -0.620, 0.287
rlpA, 0.178, 0.792, 0.039, 0.413, -0.093, 0.781, -0.059, 0.995, -0.774, 1.605, -0.434, 0.266
ynbD, -0.431, 1.660, 1.055, 0.601, 0.142, 1.006, -inf, nan, 0.176, 0.203, -0.634, 0.263
speA, 0.079, 1.287, 0.468, 0.158, 0.170, 0.437, -0.819, 1.657, -1.203, 0.424, -0.482, 0.501
frvR, -0.036, 1.439, 0.555, 0.383, -0.261, 0.758, -0.335, 1.750, -0.623, 0.991, -0.900, 0.316
yjgH, 0.778, 1.011, 1.011, 0.247, 0.246, 0.431, 0.025, 1.511, -1.423, 1.088, -0.607, 0.751
ytfG, -0.002, 1.112, 0.161, 0.406, 0.182, 0.315, 0.427, 0.746, -0.238, 0.925, -0.660, 0.879
sgcE, 0.392, 0.629, 0.622, 0.320, 0.462, 0.262, -0.178, 0.543, -0.815, 0.357, -0.578, 0.154
queA, inf, nan, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan
yieL, 0.728, 0.934, 0.171, 0.271, 0.394, 0.323, 0.240, 0.847, -0.820, 1.590, -0.422, 0.306
ydcF, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
ymcE, -inf, nan, inf, nan, inf, nan, -1.181, 1.298, inf, nan, inf, nan
ybcM, -inf, nan, 0.756, 0.838, -0.184, 1.451, -inf, nan, -0.136, 1.400, -0.829, 1.004
hicB, -0.052, 1.091, 0.478, 0.544, 0.428, 0.587, 0.138, 1.023, 0.653, 0.788, -0.544, 0.352
aldA, -0.650, 1.288, 0.997, 0.629, 0.224, 0.906, -1.482, 2.128, -0.355, 0.735, -0.769, 0.905
rarA, -0.461, 1.740, 0.610, 0.173, -0.013, 0.495, -1.126, 1.611, -0.495, 0.798, -0.395, 0.514
waaL, -inf, nan, nan, nan, nan, nan, -inf, nan, nan, nan, nan, nan
yeeR, -0.015, 0.638, 0.913, 1.391, 0.068, 0.422, -0.390, 0.759, 0.047, 1.837, -0.595, 0.351
yhjR, -0.271, 0.442, 0.514, 0.296, -0.067, 0.296, -0.295, 0.491, -0.772, 1.341, -1.043, 0.131
yhfT, 0.523, 0.616, 0.753, 0.594, 0.700, 0.848, -0.374, 0.550, 0.129, 1.250, -0.262, 0.930
lldD, -0.088, 0.722, 0.241, 0.144, 0.511, 0.481, -0.205, 0.120, -0.503, 2.105, -0.258, 1.181
ynjC, 0.576, 0.317, 0.531, 0.335, 0.534, 0.213, -0.003, 0.408, 0.277, 1.446, -0.444, 0.600
gadW, 0.416, 1.353, 0.293, 0.134, 0.333, 0.333, 0.035, 0.744, -0.546, 0.535, -0.504, 0.624
rsmI, 0.155, 0.261, 1.285, 0.399, 0.133, 0.405, 0.277, 0.619, 0.021, 0.717, -0.697, 0.562
yadK, 0.538, 0.805, 0.397, 0.069, 0.355, 0.488, -0.041, 0.388, -1.008, 1.157, -0.748, 0.874
macB, 0.018, 1.288, -0.015, 0.414, 0.138, 1.086, -0.179, 1.325, -0.761, 1.372, -0.748, 0.119
sdaB, -0.310, 0.874, 0.169, 0.393, -0.005, 0.410, -0.984, 0.493, -0.520, 0.398, -0.768, 0.597
tpiA, 0.001, 0.722, 0.353, 0.276, 0.394, 0.569, -0.172, 1.310, -1.088, 0.891, -0.205, 1.531
leuV, -1.404, 1.985, 0.812, 0.266, 0.588, 0.582, -inf, nan, -inf, nan, -0.384, 0.871
galE, 0.285, 0.281, 0.597, 0.201, 0.158, 0.152, -0.145, 0.280, 0.059, 0.487, -0.835, 0.231
qseB, 0.110, 0.490, 0.374, 0.514, -0.176, 0.483, -0.468, 0.319, -0.695, 0.873, -0.686, 0.354
tolB, 0.437, 0.336, 0.029, 0.230, 0.067, 0.590, 0.605, 0.475, -1.231, 0.801, -0.110, 0.785
htrL, -1.206, 1.041, 0.260, 0.472, -0.166, 0.192, -inf, nan, 0.257, 0.430, -0.649, 0.352
ycdX, 0.218, 0.627, 0.470, 0.081, 0.422, 0.320, -0.379, 0.449, -1.550, 2.088, -0.422, 0.981
ybcK, -0.860, 1.311, -0.009, 0.415, 0.385, 0.775, -0.759, 1.292, 0.759, 1.379, -0.251, 0.817
yhiS_1, nan, nan, inf, nan, inf, nan, nan, nan, inf, nan, inf, nan
mcrC, -0.943, 0.669, inf, nan, 0.259, 0.233, -1.004, 0.831, inf, nan, -0.375, 0.377
yhhL, 0.194, 0.527, 0.483, 0.366, 0.787, 0.659, -0.841, 0.588, -0.402, 0.484, -0.797, 0.635
yjdK, -0.409, 1.968, 0.171, 0.814, -0.102, 0.270, -inf, nan, -0.220, 1.236, 0.114, 1.314
ydaT, -inf, nan, inf, nan, inf, nan, -inf, nan, inf, nan, inf, nan
psuK, -inf, nan, inf, nan, -inf, nan, -inf, nan, inf, nan, -inf, nan
yihR, 0.631, 0.732, 0.586, 0.975, -0.314, 0.082, 0.379, 0.872, -0.296, 1.933, -0.592, 1.069
yjbR, 0.069, 0.722, 0.475, 0.478, -inf, nan, -0.261, 0.480, -0.214, 0.611, -inf, nan
rttR, -0.352, 1.183, 0.897, 0.949, 0.218, 1.246, -0.229, 1.302, -0.143, 1.379, -0.345, 1.014
b0309, -0.618, 0.504, 1.239, 1.231, 0.108, 0.556, -1.270, 0.632, -inf, nan, -inf, nan
hyfH, 0.216, 0.946, 0.422, 0.244, 0.294, 0.467, -0.168, 0.971, -0.438, 0.964, -0.428, 0.420
yegQ, -0.060, 1.137, 0.248, 0.286, 0.450, 0.765, -0.531, 1.843, 0.012, 1.249, -0.608, 0.456
pspC, -0.289, 0.993, 0.575, 0.204, 0.507, 0.304, -0.556, 1.219, -0.581, 1.226, -0.158, 1.053
lexA, 0.764, 0.879, 0.417, 0.707, 0.763, 0.446, -2.001, 1.246, -1.773, 1.161, -0.851, 0.509
thrB, 0.611, 0.907, 0.404, 0.248, 0.251, 0.281, 0.428, 0.894, -0.304, 0.661, -0.550, 0.490
cysG, -0.222, 0.740, -0.006, 0.745, 0.274, 0.390, -0.452, 0.765, 0.291, 1.267, -0.572, 0.370
appY, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
yddA, -0.935, 1.393, 0.075, 0.315, 0.192, 0.570, -1.080, 1.349, -1.576, 0.879, -0.844, 0.873
pssA, nan, nan, inf, nan, inf, nan, nan, nan, inf, nan, inf, nan
rffC, -0.241, 0.965, inf, nan, 0.688, 0.960, -0.677, 2.093, inf, nan, -0.177, 2.367
ycaC, -0.578, 1.795, 0.437, 0.075, 0.311, 0.282, -0.995, 2.274, -0.141, 0.808, -0.310, 0.449
gadE, -1.542, 0.811, -0.349, 0.487, -0.208, 0.339, -1.750, 1.904, -1.437, 0.683, -1.001, 0.306
yphF, -0.320, 0.639, 0.153, 0.511, -0.449, 1.076, -0.586, 0.527, -1.723, 1.138, -1.045, 0.343
wcaK, 0.473, 0.923, 0.356, 0.180, 0.167, 0.179, -0.098, 1.339, -0.147, 0.650, -0.505, 0.253
cheB, 0.468, 0.618, 0.248, 0.280, 0.317, 0.254, -0.172, 1.165, -0.974, 0.772, -0.791, 0.522
rlmE, nan, nan, inf, nan, inf, nan, nan, nan, inf, nan, inf, nan
yidL, -0.006, 1.281, 0.400, 0.300, inf, nan, -0.477, 1.020, -inf, nan, inf, nan
yqhD, -0.131, 0.320, 0.324, 0.462, -0.013, 0.335, -0.037, 0.263, -0.957, 0.641, -0.154, 0.599
rimP, inf, nan, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan
php, -0.322, 0.932, 0.487, 0.358, 0.435, 0.751, -0.551, 0.713, 1.015, 0.881, -0.597, 0.846
C0299, -1.000, nan, 1.222, nan, 1.100, nan, -1.000, nan, 0.000, nan, -inf, nan
arnD, 0.738, 0.739, 0.679, 0.359, 0.446, 0.317, 0.510, 0.291, -0.305, 0.732, -0.668, 0.393
acpP, inf, nan, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan
ygdR, -0.088, 1.018, 0.154, 0.365, -0.249, 0.679, 0.253, 1.286, -1.125, 1.684, -0.780, 0.448
yfdC, 0.467, 1.059, 0.313, 0.295, 0.316, 0.266, 0.272, 1.198, -0.939, 1.317, -0.845, 0.390
ydaN, 0.470, 0.701, 0.421, 0.341, 0.280, 0.312, -0.334, 1.837, 0.112, 1.802, -0.683, 0.259
ogt, 0.505, 0.196, 0.026, 0.339, -0.075, 0.106, 0.156, 0.491, -0.820, 1.225, -0.905, 0.607
elaA, -0.555, 0.725, 0.098, 0.249, 0.043, 0.327, -0.537, 0.888, -0.277, 0.566, -0.958, 0.338
gloA, -0.084, 0.831, 0.248, 0.427, 0.203, 0.296, -0.565, 1.239, -0.485, 0.756, -0.501, 0.319
yqiI, -0.394, 1.491, 0.482, 0.792, 0.324, 0.861, -1.658, 0.577, 0.067, 2.263, -1.047, 0.930
rplD, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
purE, 0.872, 1.073, 0.221, 0.674, -0.215, 0.681, 0.612, 1.028, 0.438, 1.683, -0.861, 0.476
ybeT, -0.114, 0.707, 0.269, 0.907, -0.163, 0.360, -0.511, 1.618, 0.035, 1.539, -0.634, 1.026
folB, 0.956, 0.701, 0.798, 0.388, 1.055, 0.436, 1.327, 0.617, 0.668, 0.515, 1.250, 0.907
fliE, 0.254, 0.255, 0.331, 0.341, 0.201, 0.164, -0.191, 0.326, 0.040, 0.234, -0.579, 0.337
dhaM, 0.172, 1.204, 0.594, 0.340, 0.549, 0.309, -0.141, 0.965, 0.050, 0.920, -0.010, 0.410
ltaE, 0.333, 0.436, 0.634, 0.262, 0.189, 0.201, -0.301, 0.432, -0.558, 1.432, -0.605, 0.726
ydfP, inf, nan, 0.231, 1.216, 0.442, 0.336, nan, nan, -inf, nan, -0.409, 1.407
nrfB, 0.641, 0.231, 0.375, 0.231, 0.243, 0.102, 0.029, 0.629, -0.175, 0.403, -0.627, 0.387
dpiB, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
mdtB, 0.834, 0.369, 1.183, 1.176, 1.637, 2.253, 0.405, 0.348, -0.001, 0.423, 0.692, 1.939
cptB, 0.332, 0.860, 0.537, 0.695, 0.162, 0.173, -0.533, 1.470, -0.601, 1.184, -1.026, 0.481
aroD, -0.459, 1.291, 0.445, 0.470, 0.449, 0.496, -1.091, 1.938, -1.142, 1.350, -0.311, 0.408
yjgM, 0.179, 0.519, 0.369, 0.448, 0.165, 0.396, 0.177, 0.457, -0.211, 0.342, -0.165, 1.318
yciU, 0.032, 0.362, 0.443, 0.258, 0.232, 0.327, -1.450, 0.924, -1.671, 1.441, -0.515, 0.108
yfcO, 0.234, 0.523, 0.795, 0.252, 0.484, 0.558, -0.583, 1.052, -2.136, 1.909, -0.852, 0.487
recB, 0.536, 0.383, 0.946, 0.299, 2.053, 0.733, -1.325, 0.438, -1.453, 0.910, 0.423, 0.968
recO, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
pka, -0.192, 0.819, 0.245, 0.359, 0.309, 0.292, -0.608, 1.090, -0.071, 0.628, -0.517, 0.447
safA, inf, nan, nan, nan, inf, nan, nan, nan, nan, nan, inf, nan
uhpC, -0.724, 2.254, -0.064, 0.554, -0.092, 0.870, -1.278, 1.978, -0.034, 1.353, -1.109, 1.488
fixB, 0.620, 0.502, 0.137, 0.353, 0.483, 0.221, 0.075, 0.807, -0.709, 0.551, -0.010, 0.541
dosP, -0.379, 0.301, 0.173, 0.203, 0.059, 0.413, -0.766, 1.106, -0.256, 0.567, -0.906, 0.606
